N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"81,200",800,+1.00%,100,"4,847,463","5,969,783",53.54,"12,078,386",19.50,9.99,
2,SK하이닉스,"125,000","2,000",+1.63%,"5,000","910,003","728,002",49.41,"2,060,175",17.85,9.53,
3,카카오,"157,500",500,+0.32%,100,"699,189","443,930",32.02,"2,022,191",229.26,2.70,
4,NAVER,"409,500",500,-0.12%,100,"672,659","164,263",57.02,"341,746",4.17,15.22,
5,LG화학,"873,000","3,000",+0.34%,"5,000","616,271","70,592",46.90,"155,689",38.00,2.93,
6,삼성전자우,"73,900",300,+0.41%,100,"608,113","822,887",75.98,"540,547",17.74,N/A,
7,삼성바이오로직스,"850,000","17,000",-1.96%,"2,500","562,402","66,165",10.24,"69,823",211.97,N/A,
8,삼성SDI,"747,000","25,000",+3.46%,"5,000","513,671","68,765",43.32,"404,240",73.17,4.54,
9,현대차,"236,000",0,0.00%,"5,000","504,257","213,668",29.82,"493,288",28.56,2.04,
10,셀트리온,"267,000","6,000",-2.20%,"1,000","368,237","137,917",20.69,"509,224",61.25,16.68,
11,기아,"88,700",200,-0.22%,"5,000","359,557","405,363",33.67,"1,435,730",15.93,5.05,
12,POSCO,"342,500","2,500",-0.72%,"5,000","298,615","87,187",53.81,"210,500",13.38,3.61,
13,LG전자,"170,000","3,000",+1.80%,"5,000","278,201","163,648",31.39,"1,887,557",15.84,13.23,
14,LG생활건강,"1,755,000","14,000",+0.80%,"5,000","274,099","15,618",46.53,"16,857",37.83,17.92,
15,현대모비스,"283,500","1,500",+0.53%,"5,000","268,738","94,793",36.44,"211,583",15.13,4.66,
16,SK이노베이션,"277,000","6,500",+2.40%,"5,000","256,130","92,466",22.66,"910,354",-26.19,-13.58,
17,삼성물산,"135,000","1,000",+0.75%,100,"252,298","186,887",14.88,"224,498",16.08,3.81,
18,SK텔레콤,"317,000","1,000",-0.31%,500,"228,431","72,060",45.79,"119,811",14.60,6.44,
19,KB금융,"53,800",200,-0.37%,"5,000","223,705","415,808",68.52,"1,019,909",5.60,8.53,
20,신한지주,"39,900",100,+0.25%,"5,000","206,123","516,600",60.58,"758,175",5.60,8.20,
21,SK,"277,000",0,0.00%,200,"194,898","70,360",20.28,"85,956",32.26,1.11,
22,엔씨소프트,"839,000","13,000",+1.57%,500,"184,194","21,954",51.93,"86,899",38.96,20.83,
23,HMM,"47,150",950,-1.98%,"5,000","162,853","345,392",13.85,"8,089,510",44.69,8.93,
